site,Year,Site,LAT,LONG,Urchins,Kelp
3,1988,3,57.04248,-135.29982,53.7253655,0
3,2009,3,57.04248,-135.29982,4.47110846,3.6
3,2018,3,57.04248,-135.29982,4.467733888,0.566666667
8,1988,8,57.03105,-135.33174,17.92164364,0
8,2009,8,57.03105,-135.33174,1.094393883,6.6
8,2018,8,57.03105,-135.33174,0.784038117,1.016666667
12,1988,12,57.02482,-135.3551,24.51744567,0
12,2009,12,57.02482,-135.3551,0.224442722,15.5
12,2018,12,57.02482,-135.3551,0.074610625,6.466636143
14,1988,14,57.01154,-135.30772,33.08,0
14,2009,14,57.01154,-135.30772,3.205199954,7.8
14,2018,14,57.01154,-135.30772,7.620769308,0.6
19,1988,19,57.00311,-135.30219,17.51365307,0
19,2009,19,57.00311,-135.30219,1.281732,4.3
19,2018,19,57.00311,-135.30219,2.465521919,1.216666667
21,1988,21,57.00624,-135.32106,76.37094489,0
21,2009,21,57.00624,-135.32106,1.080396756,5
21,2018,21,57.00624,-135.32106,0.999043012,1.183333334
22,1988,22,56.99886,-135.33904,49.24434145,0
22,2009,22,56.99886,-135.33904,1.293814692,6.5
22,2018,22,56.99886,-135.33904,1.338140472,0.716666666
23,1988,23,57.00079,-135.35378,51.89447627,0
23,2009,23,57.00079,-135.35378,0.736158167,9.5
23,2018,23,57.00079,-135.35378,0.318443383,3.815796161
25,1988,25,56.99483,-135.30278,51.315779238,0.2
25,2009,25,56.99483,-135.30278,0.520441833,5.4
25,2018,25,56.99483,-135.30278,0.568143766,1.483333333
26,1988,26,56.99364,-135.29253,33.674582052,0
26,2009,26,56.99364,-135.29253,1.285418027,5.6
26,2018,26,56.99364,-135.29253,4.281253652,1.35
28,1988,28,56.98361,-135.33684,9.590683688,0
28,2009,28,56.98361,-135.33684,2.69320795,14.9
28,2018,28,56.98361,-135.33684,0,2
31,1988,31,56.98361,-135.38989,14.905519412,0
31,2009,31,56.98361,-135.38989,0,13.7
31,2018,31,56.98361,-135.38989,0.340730579,9.016666667
32,1988,32,56.97976,-135.38158,33.06,0
32,2009,32,56.97976,-135.38158,0,7
32,2018,32,56.97976,-135.38158,2.232927138,10.049784114
33,1988,33,56.97293,-135.38466,33.051636413,0
33,2009,33,56.97293,-135.38466,0.035394233,13.5
33,2018,33,56.97293,-135.38466,1.276259464,4.167196304
