site,latitude,longitude
Alcatraz,37.82500076,-122.42194
Alegria,34.4671402,-120.27738
American Camp,48.45730972,-123.02222
Andrew Molera,36.28060913,-121.86317
Arroyo Hondo,34.47343826,-120.1454
Bird Rock,33.45145035,-118.48763
Boat House,34.55387878,-120.61167
Bob Creek,44.24456024,-124.11443
Bodega,38.31819916,-123.07365
Bolinas Point,37.90354156,-122.72721
Boy Scout Camp,33.00112152,-118.54832
Burnt Hill,42.22814178,-124.38786
Cabrillo I,32.66947174,-117.2455
Cabrillo II,32.66765976,-117.24526
Cabrillo III,32.6658287,-117.24417
Cape Arago,43.30894089,-124.40077
Cape Mendocino,40.3409996,-124.36317
Carpinteria,34.38703156,-119.51407
Cat Rock,34.00556946,-119.41925
Cayucos,35.44739151,-120.94982
Coal Oil Point,34.40692902,-119.87804
Crook Point,34.02159119,-120.37887
Crystal Cove,33.57078171,-117.83773
Cuyler Harbor,34.04854965,-120.33642
Damnation Creek,41.65248871,-124.12784
Dana Point,33.4598999,-117.71475
East Point,33.94269943,-119.96797
Ecola,45.91809082,-123.98031
Eel Point,32.91801071,-118.54668
Enderts,41.68999863,-124.14257
English Camp,48.59344101,-123.1555
False Klamath Cove,41.59476089,-124.10643
Fogarty Creek,44.83863831,-124.05875
Ford Point,33.91453171,-120.05024
Fossil Reef,33.9931488,-120.23758
Fraser Cove,34.06264877,-119.91915
Harris Point,34.07337189,-120.36322
Hat Island East,48.52220917,-122.54353
Hat Island West,48.52352905,-122.55222
Hazards,35.28966141,-120.88325
Hopkins,36.62120056,-121.9073
Horse Beach Cove,32.8030014,-118.42431
Johnsons Lee,33.90871811,-120.08629
Kibesillah Hill,39.60411835,-123.78887
Kydikabbit Point,48.39147186,-124.65372
Landing Cove,33.48157883,-119.02958
Little Harbor,33.38499069,-118.4752
Middle East,34.00579834,-119.39577
Middle West,34.00590134,-119.39649
Mill Creek,35.97964859,-121.49034
Mussel Shoals,34.35548019,-119.44073
NW Talcott,34.00957108,-120.2176
Occulto,34.88122177,-120.63954
Old Stairs,34.06612015,-118.99779
Orizaba Cove,34.04507828,-119.72188
Otter Harbor,34.05202866,-120.40758
Paradise Cove,34.01200867,-118.79225
Point Bonita,37.81911087,-122.52935
Point Fermin,33.70679092,-118.28599
Point Grenville,47.30255127,-124.27531
Point Lobos,36.51366043,-121.94688
Point of the Arches,48.24200058,-124.70779
Point Sierra Nevada,35.72882843,-121.31866
Post Point,48.7120018,-122.51913
Prisoners Harbor,34.02037811,-119.6867
S Frenchys Cove,34.00659943,-119.41077
Saddlebag North Cove,48.53710175,-122.5547
Saddlebag South East,48.53430176,-122.5549
Sandhill Bluff,36.9801712,-122.15503
Santa Maria Creek,38.01242828,-122.84915
Scorpion Rock,34.04552078,-119.54685
Scott Creek,37.04425049,-122.23493
Sea Lion Rookery,33.47201157,-119.03066
Sea Ranch,38.73049927,-123.48864
Shaws Cove,33.54476929,-117.79941
Shell Beach,35.1688118,-120.69668
Shelter Cove,40.02254105,-124.07366
Slide Ranch,37.87406158,-122.60094
Sokol Point; Chilean Memorial,47.94709015,-124.66229
Stairs,34.73038101,-120.61546
Starfish Point,47.65269852,-124.3905
Stillwater,36.56087112,-121.94053
Taylor Point,47.8660202,-124.57004
Terrace Point,36.94841003,-122.06457
Trailer,34.05186844,-119.9032
Treasure Island,33.51335144,-117.75793
West Cove,33.01477051,-118.60613
White Point,33.71538925,-118.31961
Willows Anchorage,33.96183014,-119.75495
