intertidal_sitename,cbsSiteCode,SiteOrder,latitude,longitude,MPA_name,Type,survey_rep,year,final_classification,total_hits,total_points,percent_cover
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,rock,132,757,0.17
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,endocladia muricata,85,757,0.11
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,mastocarpus papillatus,75,757,0.10
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,silvetia compressa,51,757,0.07
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,mazzaella cordata/splendens,49,757,0.06
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,petrocelis spp,39,757,0.05
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,corallina spp,37,757,0.05
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,odonthalia floccosa,36,757,0.05
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,encrusting coralline,29,757,0.04
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,pelvetiopsis spp,27,757,0.04
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,ulva spp,24,757,0.03
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,fucus spp,23,757,0.03
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,bluegreenalgae,21,757,0.03
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,ralfsiaceae,21,757,0.03
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,diatoms,11,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,mazzaella oregona,10,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,postelsia palmaeformis,10,757,0.01
Point Arena,77,5100,38.9433714,-123.73301,Point Arena SMR,Reserve,1,2010,undetermined,10,757,0.01
