"Site.ID","Year","MYLU","Visits_t","MYLU_lambda","MYLU_LLambda"
"1","2012",808,1,NA,NA
"1","2013",150,1,0.185643564356436,-0.731320101718905
"1","2014",689,1,4.59333333333333,0.662127962851945
"1","2015",421,1,0.611030478955007,-0.213937126071958
"1","2016",236,1,0.560570071258907,-0.251370092865562
"1","2018",337,1,1.42796610169492,0.154717897901232
"2","2012",99,1,NA,NA
"2","2013",84,1,0.848484848484849,-0.0713559085356682
"2","2014",64,1,0.761904761904762,-0.118099312077995
"2","2015",126,1,1.96875,0.294190571133676
"2","2016",103,1,0.817460317460317,-0.0875333204123907
"2","2017",121,1,1.1747572815534,0.0699481456112779
"3","2011",75,1,NA,NA
"3","2012",165,1,2.2,0.342422680822206
"3","2013",231,2,1.4,0.146128035678238
"3","2014",328,1,1.41991341991342,0.152261863819535
"3","2015",316,1,0.963414634146341,-0.0161867610932753
"3","2016",674,1,2.13291139240506,0.328972813916916
"3","2017",12,1,0.0178041543026706,-1.74947865048769
"3","2018",0,1,0.0416666666666667,-1.38021124171161
"4","2012",127,1,NA,NA
"4","2013",135,1,1.06299212598425,0.0265300475390493
"4","2014",170,1,1.25925925925926,0.100115152883268
"4","2015",189,1,1.11176470588235,0.0460128827949702
"4","2016",94,1,0.497354497354497,-0.303333950573546
"4","2017",2,1,0.0212765957446809,-1.67209785793572
"4","2018",10,1,5,NA
"5","2011",52,1,NA,NA
"5","2012",68,1,1.30769230769231,0.116505569071437
"5","2013",104,1,1.52941176470588,0.184524426592544
"5","2014",64,1,0.615384615384615,-0.210853365314893
"5","2015",94,1,1.46875,0.166947879615811
"5","2016",99,1,1.0531914893617,0.0225073409978512
"5","2017",74,1,0.747474747474748,-0.126403474866574
"5","2018",3,1,0.0405405405405405,-1.39211046501131
"6","2011",19,1,NA,NA
"6","2012",9,1,0.473684210526316,-0.324511091513504
"6","2013",24,1,2.66666666666667,NA
"6","2014",22,1,0.916666666666667,-0.0377885608893998
"6","2015",22,1,1,0
"6","2016",16,1,0.727272727272727,-0.138302698166281
"7","2011",14,1,NA,NA
"7","2012",27,1,1.92857142857143,0.285235728480749
"7","2013",24,1,0.888888888888889,-0.0511525224473813
"7","2014",24,1,1,0
"7","2015",19,1,0.791666666666667,-0.101457640758777
"7","2016",15,1,0.789473684210526,-0.102662341897148
"7","2017",5,1,0.333333333333333,-0.477121254719662
"7","2018",0,1,0.1,NA
"8","2011",26,1,NA,NA
"8","2012",31,1,1.19230769230769,0.0763883458634547
"8","2013",5,2,0.161290322580645,-0.792391689498254
"8","2014",15,2,3,NA
"8","2015",2,1,0.133333333333333,-0.8750612633917
"8","2017",1,1,0.5,NA
"8","2018",0,1,0.5,NA
"9","2012",11,1,NA,NA
"9","2013",8,1,0.727272727272727,-0.138302698166281
"9","2014",33,1,4.125,NA
"9","2015",66,1,2,0.301029995663981
"9","2016",30,1,0.454545454545455,-0.342422680822206
"9","2017",0,2,0.0166666666666667,-1.77815125038364
"9","2018",0,2,NA,NA
"10","2011",0,1,NA,NA
"10","2012",0,1,NA,NA
"10","2013",1,1,Inf,NA
"11","2011",1,1,NA,NA
"11","2012",4,1,4,NA
"11","2013",2,1,0.5,NA
"11","2014",3,1,1.5,NA
"11","2015",4,1,1.33333333333333,NA
"11","2016",2,2,0.5,NA
"11","2017",2,1,1,NA
"11","2018",0,1,0.25,NA
"12","2011",0,1,NA,NA
"12","2012",0,1,NA,NA
"12","2013",0,1,NA,NA
"12","2014",0,1,NA,NA
"12","2016",0,1,NA,NA
"12","2017",2,1,Inf,NA
"13","2011",2,1,NA,NA
"13","2012",2,1,1,NA
"13","2013",4,1,2,NA
"13","2014",2,1,0.5,NA
"13","2015",5,1,2.5,NA
"13","2016",0,1,0.1,NA
"14","2011",1,1,NA,NA
"14","2012",0,1,0.5,NA
