"site_name","species","date_sampled","temperature","pd_quantity","ct_score","logLoad","pd","Jdate"
"zimmerman","mylu",2013-11-21,8,0.000202573,"34.41457748",-3.69341844018218,1,324
"zimmerman","mylu",2013-11-21,8,7.05e-05,"35.94823456",-4.1518108830086,1,324
"zimmerman","epfu",2013-11-21,8.2,0.000518076,"33.04927063",-3.28560652604715,1,324
"zimmerman","epfu",2013-11-21,8.2,0.00018081,"34.57982635",-3.74277755381243,1,324
"zimmerman","epfu",2013-11-21,7.6,3.5e-05,"36.96846008",-4.45593195564972,1,324
"zimmerman","epfu",2013-11-21,7.6,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.4,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.4,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.2,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.2,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.8,0.01114675,"28.58735275",-1.95285173914603,1,324
"zimmerman","epfu",2013-11-21,7.8,0.00988191,"28.76247215",-2.00515910578776,1,324
"zimmerman","epfu",2013-11-21,7.4,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.4,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.4,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.4,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.6,1.96e-05,"37.80818939",-4.70774392864352,1,324
"zimmerman","epfu",2013-11-21,7.6,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.8,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.8,NA,"undetermined",NA,0,324
"zimmerman","epfu",2013-11-21,7.6,5.2e-05,"36.39247894",-4.2839966563652,1,324
"zimmerman","epfu",2013-11-21,7.6,3.49e-05,"36.97016525",-4.45717457304082,1,324
"zimmerman","epfu",2013-11-21,7.4,0.00289857,"30.54574966",-2.53781620702457,1,324
"zimmerman","epfu",2013-11-21,7.4,0.002858071,"30.56620789",-2.54392698669788,1,324
"zimmerman","mylu",2013-11-21,8,0.240923562,"24.11882019",-0.618120724508975,1,324
