"Neighborhood","Date","UI_500M","Temperature","Rainfall","species","mosq"
"Zamassi","1/29/2021",1,30,53,"A. albopictus",0
"Zamassi","1/29/2021",1,30,53,"A. aegypti",1
"Zamassi","1/18/2021",1,28,53,"A. albopictus",2
"Zamassi","1/18/2021",1,28,53,"A. aegypti",0
"Zamassi","11/13/2020",1,28,455,"A. albopictus",3
"Zamassi","11/13/2020",1,28,455,"A. aegypti",0
"Zamassi","4/16/2021",1,26,276,"A. albopictus",8
"Zamassi","4/16/2021",1,26,276,"A. aegypti",0
"Zamassi","6/14/2021",1,25,474,"A. albopictus",2
"Zamassi","6/14/2021",1,25,474,"A. aegypti",0
"Zamassi","11/18/2020",1,25,455,"A. albopictus",3
"Zamassi","11/18/2020",1,25,455,"A. aegypti",0
"Zamassi","5/18/2021",1,23,291,"A. albopictus",7
"Zamassi","5/18/2021",1,23,291,"A. aegypti",0
"Zamassi","7/28/2021",1,23,353,"A. albopictus",1
"Zamassi","7/28/2021",1,23,353,"A. aegypti",0
"Zamassi","12/16/2020",1,23,191,"A. albopictus",0
"Zamassi","12/16/2020",1,23,191,"A. aegypti",0
"Zamassi","9/11/2020",1,23,152,"A. albopictus",2
"Zamassi","9/11/2020",1,23,152,"A. aegypti",1
"Tsinga","1/26/2021",58,32,53,"A. albopictus",23
"Tsinga","1/26/2021",58,32,53,"A. aegypti",0
"Tsinga","2/16/2021",58,31,20,"A. albopictus",10
"Tsinga","2/16/2021",58,31,20,"A. aegypti",0
"Tsinga","12/10/2020",58,30,191,"A. albopictus",65
"Tsinga","12/10/2020",58,30,191,"A. aegypti",0
"Tsinga","4/17/2021",58,27,276,"A. albopictus",23
"Tsinga","4/17/2021",58,27,276,"A. aegypti",0
"Tsinga","2/22/2021",58,26,20,"A. albopictus",10
"Tsinga","2/22/2021",58,26,20,"A. aegypti",1
"Tsinga","4/14/2021",58,26,276,"A. albopictus",39
"Tsinga","4/14/2021",58,26,276,"A. aegypti",0
"Tsinga","5/12/2021",58,25,291,"A. albopictus",80
"Tsinga","5/12/2021",58,25,291,"A. aegypti",5
"Tsinga","5/19/2021",58,25,291,"A. albopictus",20
"Tsinga","5/19/2021",58,25,291,"A. aegypti",0
"Tsinga","6/11/2021",58,25,474,"A. albopictus",53
"Tsinga","6/11/2021",58,25,474,"A. aegypti",0
"Tsinga","7/27/2021",58,24,353,"A. albopictus",105
"Tsinga","7/27/2021",58,24,353,"A. aegypti",0
"Tsinga","2/1/2021",58,23,20,"A. albopictus",66
"Tsinga","2/1/2021",58,23,20,"A. aegypti",0
"Tsinga","9/15/2020",58,23,152,"A. albopictus",120
"Tsinga","9/15/2020",58,23,152,"A. aegypti",1
"Tsinga","11/12/2020",58,22,455,"A. albopictus",107
"Tsinga","11/12/2020",58,22,455,"A. aegypti",2
"Omnisport","4/13/2021",85,26,276,"A. albopictus",303
"Omnisport","4/13/2021",85,26,276,"A. aegypti",3
