Seal ID,TOPP ID,Flipper Tag 1,Flipper Tag 2,Marks,Sex,Age,Date,Tag Type,Tag #,PTT,VHF,DeploymentMass,StandardLength,Whisker
H948,2022201,GH948,GK668,H948,F,0,11-Apr-22,ScoutDSA,21A0954,228977,148.011,78.4,147,LD1
J477,2022202,GJ477,GK762,J477,M,0,13-Apr-22,ScoutDSA,21A0955,228978,148.022,116.4,156,RC5
J498,2022203,GJ498,GK549,J498,M,0,16-Apr-22,ScoutDSA,21A0956,228979,148.032,80.6,147,RD1
J484,2022204,GJ484,GK618,K618,F,0,18-Apr-22,ScoutDSA,21A0957,228980,148.055,78.6,140,LD1
H918,2022205,GH918,GK643,H918,M,0,19-Apr-22,ScoutDSA,21A0958,228981,148.073,97.6,155,LC1
J275,2022206,GJ275,GK746,K746,F,0,23-Apr-22,ScoutDSA,21A0959,228982,148.091,67.6,130,LC1
J450,2022207,GJ450,GK615,K615,M,0,26-Apr-22,ScoutDSA,21A0960,228983,148.103,69.6,138,RD2
J416,2022208,GJ416,GK750,"J416,K750",F,0,27-Apr-22,ScoutDSA,21A0961,228984,148.112,105.4,155,LC1
H875,2022209,GH875,GJ088,H875,F,1,29-Apr-22,ScoutDSA,21A0962,228985,148.121,126.2,180,LC1
G465,2022210,GG465,GH029,H029,F,2,30-Apr-22,ScoutDSA,21A0969,228986,148.133,169.6,201,LD1
G967,2022211,GG967,GG969,G967,F,2,2-May-22,ScoutDSA,22A0012,228956,148.152,170.4,206,RC1
E820,2022212,GE820,GG336,G336,F,2,3-May-22,ScoutDSA,22A0013,228957,148.172,162.6,204,LD1
G240,2022213,GG240,GH559,G240,F,2,2-May-22,ScoutDSA,22A0014,228958,148.182,159.6,210,RE1
H719,2022214,GH719,GK039,H719,M,1,5-May-22,ScoutDSA,22A0015,228959,148.202,125,176,RD1
H047,2022215,GH047,GH189,H189,M,2,6-May-22,ScoutDSA,22A0016,228960,148.233,217.4,224,RD1
H891,2022216,GH891,GK138,H891,F,1,7-May-22,ScoutDSA,22A0017,228987,148.244,95.4,170,LC1
G340,2022217,GG340,GG385,G340,M,2,8-May-22,ScoutDSA,22A0019,228961,148.252,176.4,189,RD1
H311,2022218,GH311,GH723,"H723,H311",M,2,9-May-22,ScoutDSA,22A0022,228962,149.264,229.4,207,LC1
H664,2022219,GH664,GK201,H664,F,1,10-May-22,ScoutDSA,22A0023,228963,148.302,128,177,RC1
H393,2022220,GH393,GH468,H393,M,2,11-May-22,ScoutDSA,22A0025,228964,148.311,178.4,205,LC1
H835,2022221,GH835,GK042,H835,M,1,12-May-22,ScoutDSA,22A0028,228965,148.321,118.4,182,RC1
H840,2022222,GH840,GK088,K088,M,1,13-May-22,ScoutDSA,22A0055,228966,148.352,131.8,189,LC1
G686,2022223,GG686,GK913,G686,F,3,14-May-22,ScoutDSA,22A0058,228967,149.384,206,226,LC1
G634,2022224,GG634,GH754,G334,F,3,15-May-22,ScoutDSA,22A0059,228968,149.424,250.6,234,LC2
G042,2022225,GG042,GG047,G042,M,3,16-May-22,ScoutDSA,22A0060,228969,149.442,273.6,247,RC1
J107,2022226,GJ107,GK168,J107,M,1,17-May-22,ScoutDSA,22A0061,228970,148.575,142.6,190,RC1
E967,2022227,GE967,GG108,"E967,G108",F,3,18-May-22,ScoutDSA,22A0063,228971,148.586,255,242,LC1
H529,2022228,GH529,GK281,H529,F,1,19-May-22,ScoutDSA,22A0064,228972,148.595,115.8,186,RC1
E749,2022229,GE749,GE750,E749,M,3,21-May-22,ScoutDSA,22A0065,214388,148.606,313,259,LC1
D732,2022230,GD732,GG110,G110,F,3,23-May-22,ScoutDSA,22A0066,228973,148.861,253,241,LC1
G136,2022231,GG136,GK950,G136,M,3,25-May-22,ScoutDSA,22A0067,228974,148.955,302.2,245,RC1
G131,2022232,GG131,GK914,G131,M,3,26-May-22,ScoutDSA,22A0069,228975,148.195,217,241,LC1
