BoxNumber,Position,SealID,CollectionDate,Status,TOPPID,Sex,Age,BodyMass,BiopsySide,Timepoint,MbAnalysisDate,MeanMb,SDMb,NicoleNotes
1,A8,G967,2022-05-02,Sample ran successfully,2022211,F,2,170.4,R,Deployment,2024-06-25,98.42,4.92,Nice viable sample; some leftover 
1,B1,G240,2022-05-04,Sample ran successfully,2022213,F,2,159.6,R,Deployment,2024-06-25,95.57,4.99,Nice viable sample; used all
1,B2,H719,2022-05-05,Sample ran successfully,2022214,M,1,125,R,Deployment,2024-06-25,70.52,1.81,Nice viable sample; some leftover 
1,B4,H891,2022-05-07,Sample ran successfully,2022216,F,1,95.4,R,Deployment,2024-06-27,82.25,3.25,Very nice muscle sample; about half saved 
1,B6,H311,2022-05-09,Sample ran successfully,2022218,M,2,229.4,L,Deployment,2024-06-27,64.32,1.95,"Viable muscle; may have used it all, but saved what was left in vial (might just be blood and fat) anyways"
1,B7,H664,2022-05-10,Sample ran successfully,2022219,F,1,128,L,Deployment,2024-06-27,63.34,4.43,"I didn't think there was enough tissue, but tried anyways with 0.018g and it seemed to have worked!"
1,C1,H840,2022-05-13,Sample ran successfully,2022222,M,1,131.8,L,Deployment,2024-06-27,59.71,4.1,Used most of what was available (3 tiny pieces); saved what might have been one more tiny bit in vial
1,C2,G686,2022-05-14,Sample ran successfully,2022223,F,3,206,L,Deployment,2024-06-27,94.21,4.43,Nice big sample; saved extra :) 
1,C3,G634,2022-05-15,Sample ran successfully,2022224,F,3,250.6,L,Deployment,2024-06-27,86.32,2.88,Nice big sample; saved extra :) 
1,C5,J107,2022-05-17,Sample ran successfully,2022226,M,1,142.6,R,Deployment,2024-06-27,73.88,1.32,Used all of muscle
1,D2,G131,2022-05-26,Sample ran successfully,2022232,M,3,217,L,Deployment,2024-06-25,81.91,1.99,Viable sample; some leftover
1,F1,H891,2022-08-27,Sample ran successfully,2022216,F,1,162.4,L,Recovery,2024-06-25,79.13,2.89,Viable sample; used all
